name,and1s,ast_pct,ast_per_g,astd_pts,avg_dist,blk_pct,blk_per_g,bpm,dbpm,drawn_offensive,drawn_shooting,drb_pct,drb_per_g,efg_pct,fg2_dunk,fg2_pct,fg2_pct_ast,fg2_per_g,fg2a_pct_fga,fg2a_per_g,fg3_heave,fg3_pct,fg3_pct_ast,fg3_pct_corner,fg3_per_g,fg3a_heave,fg3a_pct_fga,fg3a_per_fga_pct,fg3a_per_g,fg_pct,fg_pct_00_03,fg_pct_03_10,fg_pct_10_16,fg_pct_16_xx,fg_per_g,fga_per_g,fouls_offensive,fouls_shooting,ft_pct,ft_per_g,fta_per_fga_pct,fta_per_g,obpm,orb_pct,orb_per_g,own_shots_blk,pct_1,pct_2,pct_3,pct_4,pct_5,pct_fg2_dunk,pct_fg3a_corner,pct_fga_00_03,pct_fga_03_10,pct_fga_10_16,pct_fga_16_xx,pf_per_g,pts_per_g,stl_pct,stl_per_g,tov_bad_pass,tov_lost_ball,tov_pct,tov_per_g,trb_pct,trb_per_g,ts_pct,usg_pct,assist_turnover_ratio,label
Klay Thompson,0.13574660633484162,10.5,2.541176470588235,5.714932126696833,17.7,1.5,0.6352941176470588,-0.8,-2.0,0.13574660633484162,0.9502262443438914,10.1,3.5999999999999996,0.5529999999999999,0.3257918552036199,0.516,0.746,5.6117647058823525,0.573,10.905882352941177,0.0,0.402,0.917,0.46,3.282352941176471,0.0,0.42700000000000005,0.42700000000000005,8.152941176470588,0.467,0.715,0.42200000000000004,0.478,0.445,8.894117647058824,19.058823529411764,0.2171945701357466,0.9909502262443439,0.816,1.7999999999999998,0.113,2.1176470588235294,1.2,1.6,0.5294117647058824,0.5429864253393665,7.0,80.0,13.0,1.0,0.0,0.019,0.21,0.138,0.073,0.14800000000000002,0.215,2.1176470588235294,22.764705882352942,1.5,1.1647058823529413,0.6923076923076923,0.42081447963800905,7.2,1.588235294117647,6.0,4.023529411764706,0.5710000000000001,25.6,-0.2788871366340462,6
Draymond Green,0.20920096852300243,26.8,7.936102236421725,18.6363196125908,13.4,2.8,1.2651757188498403,2.0,3.4,0.38353510895883774,0.6624697336561743,20.8,7.361022364217252,0.501,0.4358353510895884,0.5489999999999999,0.7020000000000001,2.4153354632587862,0.609,4.485623003194888,0.0,0.285,0.9359999999999999,0.455,0.8051118210862619,0.017433414043583534,0.391,0.391,2.8753993610223643,0.445,0.7020000000000001,0.316,0.39299999999999996,0.28600000000000003,3.2204472843450476,7.361022364217252,0.27893462469733654,1.6213075060532687,0.6920000000000001,1.1501597444089458,0.21600000000000003,1.6102236421725238,-1.4,3.2,1.035143769968051,0.2963680387409201,0.0,0.0,59.0,39.0,2.0,0.064,0.133,0.358,0.135,0.066,0.05,3.450479233226837,8.5111821086262,2.2,1.6102236421725238,2.214043583535109,0.33123486682808717,26.8,2.990415335463259,12.4,8.396166134185304,0.526,13.1,1.0241866152611034,5
Jordan Bell,0.18274111675126903,12.3,3.4137931034482762,8.269035532994923,8.1,5.4,2.4827586206896552,-0.4,2.8,0.41116751269035534,0.7766497461928934,16.7,5.896551724137931,0.516,1.4619289340101522,0.521,0.737,4.655172413793103,0.99,8.689655172413794,0.0,0.0,0.0,0.0,0.0,0.04568527918781726,0.01,0.01,0.0,0.516,0.688,0.381,0.455,0.27899999999999997,4.655172413793103,8.689655172413794,0.27411167512690354,2.467005076142132,0.61,1.2413793103448276,0.214,1.8620689655172413,-3.1,7.8,2.4827586206896552,0.5025380710659898,0.0,0.0,0.0,14.0,86.0,0.198,0.0,0.484,0.109,0.172,0.22399999999999998,3.7241379310344827,10.241379310344827,1.2,0.9310344827586207,0.7766497461928934,0.5482233502538071,16.7,1.8620689655172413,12.5,8.379310344827587,0.531,13.7,0.009627976315974902,2
Stephen Curry,0.47876447876447875,24.2,5.538461538461539,13.019305019305019,19.7,0.9,0.42603550295857995,6.3,-1.4,0.3552123552123552,1.667953667953668,14.2,5.005917159763315,0.604,0.015444015444015444,0.525,0.46399999999999997,4.260355029585799,0.396,8.201183431952662,0.015444015444015444,0.43700000000000006,0.6890000000000001,0.517,5.431952662721894,0.16988416988416988,0.604,0.604,12.461538461538462,0.47200000000000003,0.649,0.488,0.419,0.439,9.798816568047338,20.662721893491124,0.21621621621621623,1.0038610038610039,0.9159999999999999,4.047337278106509,0.214,4.473372781065089,7.7,2.2,0.7455621301775148,0.555984555984556,98.0,2.0,0.0,0.0,0.0,0.002,0.14800000000000002,0.14300000000000002,0.096,0.046,0.11,2.5562130177514795,29.07692307692308,1.9,1.3846153846153848,1.7297297297297298,0.7722007722007722,11.6,2.9822485207100593,8.4,5.644970414201183,0.6409999999999999,30.4,0.03906829396393612,4
Andre Iguodala,0.1596958174904943,16.8,4.9655172413793105,11.520912547528518,14.9,2.7,1.2413793103448276,1.9,1.7,0.22813688212927757,0.6615969581749049,13.2,4.655172413793103,0.579,1.5741444866920151,0.652,0.757,2.3275862068965516,0.523,3.5689655172413794,0.0,0.33299999999999996,0.958,0.40700000000000003,1.0862068965517242,0.022813688212927757,0.47700000000000004,0.47700000000000004,3.258620689655173,0.5,0.856,0.2,0.294,0.273,3.4137931034482762,6.8275862068965525,0.022813688212927757,1.0950570342205324,0.5820000000000001,0.9310344827586207,0.222,1.5517241379310345,0.2,3.4,1.0862068965517242,0.09125475285171103,3.0,34.0,59.0,5.0,0.0,0.228,0.41,0.344,0.05,0.055999999999999994,0.073,2.1724137931034484,8.844827586206897,1.8,1.396551724137931,0.844106463878327,0.13688212927756654,13.6,1.2413793103448276,8.5,5.741379310344828,0.5870000000000001,10.4,2.688696882280455,3
Shaun Livingston,0.26059979317476734,14.8,4.291390728476821,10.237849017580144,8.8,2.3,0.9536423841059604,-1.5,0.5,0.07445708376421924,0.9307135470527405,7.9,2.8609271523178808,0.519,0.8562564632885212,0.524,0.541,4.0529801324503305,0.99,7.867549668874172,0.0,0.0,0.0,0.0,0.0,0.07445708376421924,0.01,0.01,0.0,0.519,0.677,0.478,0.43200000000000005,0.556,4.0529801324503305,7.867549668874172,0.26059979317476734,1.1540847983453981,0.784,1.4304635761589404,0.243,1.9072847682119207,-1.9,4.9,1.6688741721854305,0.4095139607032058,35.0,64.0,1.0,0.0,0.0,0.124,0.0,0.31,0.21899999999999997,0.419,0.043,2.8609271523178808,9.536423841059603,1.5,1.1920529801324504,0.9307135470527405,0.14891416752843847,14.1,1.4304635761589404,6.5,4.291390728476821,0.555,12.0,1.4522035410660799,0
Quinn Cook,0.20396600566572237,15.2,4.0279720279720275,8.872521246458923,17.5,0.2,0.0,-2.9,-2.7,0.0339943342776204,0.47592067988668557,13.0,4.531468531468531,0.557,0.0,0.515,0.40700000000000003,4.279720279720279,0.544,8.055944055944055,0.0,0.405,0.815,0.439,2.769230769230769,0.0339943342776204,0.456,0.456,6.797202797202797,0.465,0.609,0.436,0.442,0.519,7.048951048951048,14.853146853146853,0.10198300283286119,1.3597733711048159,0.769,0.7552447552447551,0.059000000000000004,1.0069930069930069,-0.2,2.3,0.7552447552447551,0.6458923512747875,100.0,0.0,0.0,0.0,0.0,0.002,0.205,0.157,0.08900000000000001,0.11800000000000001,0.18,3.0209790209790204,17.37062937062937,0.9,0.7552447552447551,1.0538243626062322,0.44192634560906513,10.0,1.762237762237762,7.9,5.286713286713287,0.565,20.2,0.5689940116272398,4
DeMarcus Cousins,0.8404669260700389,20.4,5.042801556420233,11.906614785992218,10.1,4.8,2.1011673151750974,3.6,3.4,0.7937743190661478,3.4085603112840466,27.0,9.525291828793774,0.515,1.0739299610894941,0.551,0.5660000000000001,7.143968871595331,0.7440000000000001,12.88715953307393,0.0,0.27399999999999997,1.0,0.0,1.2607003891050583,0.0,0.256,0.256,4.482490272373541,0.48,0.6559999999999999,0.441,0.385,0.313,8.264591439688717,17.369649805447473,1.027237354085603,2.2879377431906613,0.736,4.902723735408561,0.38799999999999996,6.7237354085603105,0.2,6.2,1.961089494163424,1.4941634241245136,0.0,0.0,0.0,0.0,100.0,0.067,0.042,0.415,0.251,0.035,0.043,5.042801556420233,22.832684824902728,2.5,1.8210116731517512,1.2140077821011672,0.933852140077821,14.2,3.3618677042801552,17.1,11.486381322957198,0.562,28.1,-0.4025364707554836,2
Kevin Durant,0.612879348630644,26.2,6.1387283236994215,14.76239822353812,14.9,2.6,1.1445086705202312,4.3,0.1,0.18652849740932642,2.8112509252405626,17.5,6.1387283236994215,0.5710000000000001,1.5188749074759438,0.5870000000000001,0.47100000000000003,7.803468208092485,0.7190000000000001,13.31791907514451,0.0,0.353,0.569,0.233,1.8728323699421963,0.0,0.281,0.281,5.202312138728323,0.521,0.752,0.541,0.517,0.535,9.572254335260116,18.416184971098264,0.27979274611398963,1.0525536639526276,0.885,5.930635838150289,0.366,6.763005780346821,4.2,1.4,0.4161849710982659,0.5062916358253146,0.0,0.0,21.0,69.0,10.0,0.087,0.077,0.18899999999999997,0.106,0.23800000000000002,0.187,2.0809248554913293,27.052023121387283,1.0,0.7283236994219653,1.6787564766839378,0.7727609178386381,12.3,3.0173410404624272,9.8,6.658959537572255,0.631,29.0,0.25834790127288976,7
Kevon Looney,0.36461850101282917,10.9,2.918918918918919,7.292370020256583,4.7,3.0,1.362162162162162,3.7,1.8,0.12153950033760973,1.288318703578663,15.4,5.448648648648648,0.627,2.552329507089804,0.6409999999999999,0.7040000000000001,5.254054054054055,0.971,8.172972972972975,0.0,0.1,1.0,0.0,0.0,0.024307900067521943,0.028999999999999998,0.028999999999999998,0.1945945945945946,0.625,0.7240000000000001,0.304,0.583,0.515,5.254054054054055,8.367567567567567,0.4618501012829169,2.9412559081701555,0.619,1.5567567567567568,0.303,2.52972972972973,1.9,14.6,4.67027027027027,0.7292370020256583,0.0,0.0,0.0,10.0,90.0,0.314,0.4,0.7090000000000001,0.133,0.035,0.095,5.05945945945946,12.259459459459459,1.5,1.1675675675675674,0.36461850101282917,0.29169480081026333,11.5,1.1675675675675674,15.0,10.11891891891892,0.636,12.8,0.8339568704588924,2
Jonas Jerebko,0.3251231527093596,10.1,2.8023952095808387,6.827586206896552,16.7,1.2,0.4311377245508982,0.0,-0.6,0.3251231527093596,1.0935960591133005,18.1,6.467065868263473,0.556,0.41379310344827586,0.563,0.7659999999999999,2.8023952095808387,0.47,4.95808383233533,0.029556650246305417,0.36700000000000005,1.0,0.392,1.9401197604790419,0.029556650246305417,0.53,0.53,5.604790419161677,0.45899999999999996,0.667,0.28600000000000003,0.6,0.484,4.74251497005988,10.562874251497007,0.2660098522167488,1.625615763546798,0.8,1.9401197604790419,0.225,2.37125748502994,0.6,6.6,2.155688622754491,0.3842364532019704,0.0,0.0,3.0,70.0,27.0,0.042,0.271,0.262,0.079,0.042,0.087,4.095808383233533,13.580838323353293,1.1,0.8622754491017964,0.6206896551724138,0.2660098522167488,9.9,1.2934131736526946,12.6,8.407185628742516,0.588,15.2,0.42179242338743367,7
Alfonzo McKinnie,0.28713858424725824,4.0,1.0359712230215827,2.7278165503489533,12.9,1.3,0.5179856115107914,-2.5,-1.5,0.21535393818544366,0.8255234297108675,16.9,5.9568345323741,0.564,1.1844466600199401,0.586,0.7170000000000001,3.3669064748201443,0.5710000000000001,5.697841726618705,0.0,0.35600000000000004,1.0,0.33299999999999996,1.553956834532374,0.0,0.429,0.429,4.143884892086331,0.48700000000000004,0.685,0.32,0.5,0.308,4.920863309352518,9.841726618705035,0.1794616151545364,2.3688933200398803,0.563,1.0359712230215827,0.175,1.8129496402877696,-0.9,9.0,2.8489208633093526,0.7178464606181456,0.0,23.0,71.0,7.0,0.0,0.138,0.508,0.40399999999999997,0.091,0.028999999999999998,0.047,4.920863309352518,12.172661870503598,0.9,0.776978417266187,0.3948155533399801,0.14356929212362912,9.2,1.0359712230215827,13.1,8.805755395683452,0.569,13.9,-1.0207831413626718,3
Trey Lyles,0.38571428571428573,11.3,2.88,6.525,13.8,1.8,0.8228571428571428,-3.3,-0.7,0.12857142857142856,1.6714285714285715,19.6,6.582857142857143,0.47,0.8035714285714286,0.529,0.622,4.937142857142857,0.596,9.462857142857143,0.0,0.255,0.941,0.406,1.6457142857142857,0.06428571428571428,0.40399999999999997,0.40399999999999997,6.377142857142857,0.418,0.731,0.35,0.341,0.524,6.582857142857143,15.84,0.38571428571428573,1.7357142857142858,0.698,2.6742857142857144,0.23399999999999999,3.702857142857143,-2.6,4.2,1.44,0.7714285714285715,0.0,0.0,0.0,85.0,16.0,0.055,0.16,0.263,0.20199999999999999,0.08900000000000001,0.042,3.085714285714286,17.485714285714284,1.3,1.0285714285714285,0.8678571428571429,0.5785714285714286,11.1,2.262857142857143,11.9,7.817142857142856,0.5,23.4,-0.6835576846678421,7
Malik Beasley,0.19159127195316658,7.5,1.8620689655172413,4.310803618946248,16.8,0.5,0.15517241379310345,-0.5,-1.9,0.19159127195316658,0.5556146886641831,9.5,3.103448275862069,0.584,0.8621607237892496,0.56,0.758,3.5689655172413794,0.45,6.362068965517241,0.0,0.402,0.982,0.461,3.103448275862069,0.019159127195316657,0.55,0.55,7.758620689655173,0.474,0.732,0.365,0.5529999999999999,0.392,6.6724137931034475,14.120689655172413,0.05747738158594997,1.0537519957424162,0.848,1.0862068965517242,0.09,1.2413793103448276,1.4,2.0,0.6206896551724138,0.6514103246407663,3.0,60.0,37.0,0.0,0.0,0.07200000000000001,0.188,0.20199999999999999,0.115,0.064,0.069,2.1724137931034484,17.53448275862069,1.4,1.0862068965517242,0.42150079829696646,0.4406599254922831,6.7,1.0862068965517242,5.8,3.8793103448275863,0.599,18.7,-0.13757361192383205,6
Jamal Murray,0.1618308132407029,22.4,5.300613496932515,12.6669391091132,15.1,1.0,0.44171779141104295,0.1,-1.0,0.3236616264814058,0.9856967715570086,11.2,3.7546012269938647,0.502,0.36779730281977935,0.47600000000000003,0.526,5.300613496932515,0.647,11.153374233128833,0.0,0.36700000000000005,0.684,0.568,2.2085889570552144,0.029423784225582346,0.353,0.353,6.07361963190184,0.43700000000000006,0.583,0.39899999999999997,0.439,0.465,7.509202453987729,17.226993865030675,0.20596648957907643,1.0298324478953822,0.848,2.7607361963190185,0.19,3.312883435582822,1.1,2.9,0.9938650306748466,0.7503064977523498,73.0,27.0,0.0,0.0,0.0,0.025,0.08900000000000001,0.184,0.16,0.16899999999999998,0.134,2.2085889570552144,20.09815950920245,1.3,0.9938650306748466,1.2357989374744585,0.6767470371883939,11.1,2.319018404907976,7.0,4.638036809815952,0.5379999999999999,24.9,0.5689940116272393,0
Juan Hernangomez,0.23858615611192932,5.3,1.4845360824742269,3.57879234167894,15.8,1.6,0.5567010309278351,-0.9,0.0,0.15905743740795286,1.0073637702503682,16.1,5.381443298969072,0.545,0.3446244477172312,0.541,0.722,1.8556701030927836,0.424,3.5257731958762886,0.0,0.365,0.985,0.321,1.6701030927835052,0.0,0.5760000000000001,0.5760000000000001,4.824742268041238,0.439,0.667,0.138,0.5,0.5710000000000001,3.711340206185567,8.350515463917526,0.15905743740795286,1.3519882179675995,0.767,1.6701030927835052,0.27399999999999997,2.2268041237113403,-0.9,5.1,1.6701030927835052,0.39764359351988215,0.0,0.0,48.0,50.0,2.0,0.051,0.293,0.29600000000000004,0.092,0.013000000000000001,0.022000000000000002,2.412371134020619,10.762886597938143,1.0,0.7422680412371134,0.23858615611192932,0.45066273932253315,9.5,0.9278350515463918,10.6,7.051546391752577,0.58,12.2,-0.2788871366340462,5
Paul Millsap,0.39894459102902374,10.6,2.6568265682656826,6.497097625329816,10.0,2.5,1.062730627306273,2.4,1.9,0.24696569920844327,1.9567282321899737,20.2,6.642066420664206,0.528,0.8168865435356201,0.522,0.564,5.047970479704796,0.7609999999999999,9.564575645756456,0.01899736147757256,0.365,1.0,0.424,1.062730627306273,0.01899736147757256,0.239,0.239,3.055350553505535,0.484,0.6679999999999999,0.408,0.419,0.2,6.11070110701107,12.619926199261991,0.22796833773087072,1.9567282321899737,0.727,3.4538745387453877,0.374,4.782287822878228,0.5,8.7,2.922509225092251,0.9688654353562005,0.0,0.0,20.0,80.0,0.0,0.07200000000000001,0.20800000000000002,0.34,0.295,0.111,0.015,3.4538745387453877,16.7380073800738,2.2,1.5940959409594093,0.645910290237467,0.6649076517150396,10.9,1.8597785977859778,14.4,9.564575645756456,0.57,19.6,-0.4908574236993678,7
Mason Plumlee,0.3951473136915078,19.5,5.118483412322274,11.833622183708838,4.6,3.9,1.5355450236966823,3.8,3.9,0.22876949740034663,1.684575389948007,22.5,7.507109004739336,0.595,2.433275563258232,0.602,0.7040000000000001,5.459715639810426,0.977,9.042654028436017,0.0,0.2,1.0,0.0,0.0,0.06239168110918544,0.023,0.023,0.17061611374407581,0.593,0.7440000000000001,0.36,0.5379999999999999,0.2,5.459715639810426,9.213270142180095,0.6031195840554593,2.433275563258232,0.561,2.3886255924170614,0.44799999999999995,4.0947867298578196,-0.1,10.3,3.4123222748815163,0.707105719237435,0.0,0.0,0.0,32.0,68.0,0.28300000000000003,0.1,0.602,0.28300000000000003,0.059000000000000004,0.034,5.289099526066351,13.308056872037914,1.9,1.3649289099526065,1.2270363951473138,0.41594454072790293,19.2,2.559241706161137,16.4,10.919431279620852,0.602,16.2,0.215710199851704,1
Gary Harris,0.35143380109823064,11.0,2.75,6.545454545454546,13.6,1.0,0.37499999999999994,-1.8,-1.0,0.13178767541183647,1.3618059792556436,7.9,2.6250000000000004,0.488,0.5930445393532642,0.47600000000000003,0.606,4.125,0.62,8.625,0.0,0.33899999999999997,0.89,0.371,1.75,0.021964612568639415,0.38,0.38,5.250000000000001,0.424,0.617,0.32299999999999995,0.446,0.28800000000000003,5.875000000000001,14.0,0.1537522879804759,0.8785845027455765,0.799,2.5,0.226,3.125,-0.7,2.7,0.875,0.9225137278828553,3.0,89.0,8.0,0.0,0.0,0.052000000000000005,0.256,0.295,0.155,0.08800000000000001,0.08199999999999999,2.5,16.125,1.6,1.25,0.6589383770591825,0.5051860890787065,8.9,1.4999999999999998,5.3,3.5,0.526,20.0,0.009627976315975176,6
Torrey Craig,0.1437125748502994,6.3,1.8,4.2155688622754495,14.5,2.7,1.0799999999999998,-0.1,0.9,0.19161676646706588,0.5508982035928144,12.6,4.14,0.526,0.6467065868263473,0.569,0.6970000000000001,2.3400000000000003,0.48100000000000004,4.14,0.0,0.324,0.934,0.37,1.44,0.0,0.519,0.519,4.5,0.442,0.703,0.289,0.364,0.14300000000000002,3.7800000000000002,8.639999999999999,0.2634730538922156,2.179640718562874,0.7,1.26,0.193,1.6199999999999999,-1.0,6.4,2.1599999999999997,0.3592814371257485,0.0,26.0,64.0,11.0,0.0,0.086,0.38799999999999996,0.326,0.105,0.03,0.019,4.14,10.260000000000002,1.2,0.9,0.40718562874251496,0.16766467065868262,10.1,1.0799999999999998,9.5,6.3,0.547,12.4,-0.1964542472197542,3
